accuracy,loss,acc_convergence,loss_convergence,acc_valid,loss_valid,parameters,hidden_nodes,filters,filter_size,pooling_size,pooling_type,dropout
0.9497,0.1865,0,1,True,True,529171,85,76,"(3, 3)","(3, 3)",average,17
0.9367,0.3297,0,1,True,True,630435,84,38,"(3, 3)","(2, 2)",average,52
0.8611,0.5128,0,1,True,True,74712,32,61,"(4, 4)","(4, 4)",average,7
0.9732,0.1179,0,1,True,True,1264751,107,60,"(3, 3)","(2, 2)",max,14
0.8697,0.4796,0,1,True,True,45413,117,7,"(2, 2)","(4, 4)",average,12
0.9621,0.16,6,1,False,True,1628306,91,91,"(2, 2)","(2, 2)",max,4
0.6745,1.144,0,1,True,False,153335,108,28,"(2, 2)","(4, 4)",average,69
0.9456,0.2045,10,1,True,True,560635,127,89,"(2, 2)","(4, 4)",max,9
0.9686,0.1328,0,1,True,True,615643,60,60,"(5, 5)","(2, 2)",average,24
0.8981,0.3654,0,1,True,True,127676,87,55,"(5, 5)","(5, 5)",average,25
0.8237,0.696,0,1,True,False,35839,19,46,"(5, 5)","(4, 4)",average,9
0.971,0.1212,9,1,True,True,151798,94,43,"(4, 4)","(4, 4)",max,6
0.922,0.3487,0,1,True,True,36637,66,3,"(5, 5)","(2, 2)",average,64
0.9742,0.115,0,1,True,True,505685,118,25,"(5, 5)","(2, 2)",average,30
0.7314,0.9602,0,1,True,False,342007,70,98,"(3, 3)","(4, 4)",average,66
0.5943,1.531,0,1,True,False,174611,22,40,"(3, 3)","(2, 2)",max,57
0.6234,1.3425,0,1,True,False,190091,32,72,"(3, 3)","(3, 3)",average,47
0.9628,0.1526,9,1,False,True,99896,128,29,"(4, 4)","(5, 5)",max,7
0.9701,0.1352,6,1,False,True,944591,73,76,"(4, 4)","(2, 2)",average,2
0.5662,1.4313,0,1,True,False,4121,58,1,"(5, 5)","(5, 5)",average,64
0.9693,0.1641,0,1,True,True,68741,98,18,"(4, 4)","(4, 4)",max,49
0.9202,0.3096,0,1,True,True,19463,41,16,"(5, 5)","(5, 5)",max,29
0.8372,0.625,0,1,True,False,215299,60,72,"(2, 2)","(4, 4)",average,35
0.8781,0.4802,0,1,True,False,346289,44,46,"(4, 4)","(2, 2)",average,48
0.9508,0.1875,0,1,True,True,142144,57,93,"(5, 5)","(5, 5)",max,8
0.6,1.3541,0,1,True,False,364715,24,88,"(5, 5)","(2, 2)",average,54
0.8896,0.4128,0,1,True,True,15755,76,2,"(3, 3)","(3, 3)",max,22
0.9779,0.1062,0,1,True,True,614439,115,27,"(3, 3)","(2, 2)",max,37
0.8317,0.6485,0,1,True,False,56451,25,33,"(5, 5)","(3, 3)",average,8
0.6147,1.4062,0,1,True,False,466666,67,85,"(3, 3)","(3, 3)",max,70
0.9546,0.1773,10,1,True,True,459220,60,93,"(4, 4)","(3, 3)",average,5
0.6459,1.1846,0,1,True,False,8635,24,12,"(3, 3)","(5, 5)",max,55
0.8368,0.6524,0,1,True,False,95451,57,20,"(3, 3)","(3, 3)",average,30
0.9788,0.0937,0,1,True,True,757536,120,77,"(4, 4)","(3, 3)",max,23
0.8932,0.4491,0,1,True,False,223439,113,76,"(4, 4)","(5, 5)",max,65
0.3864,2.0712,0,1,True,False,48343,16,73,"(5, 5)","(4, 4)",average,47
0.766,0.8383,0,1,True,False,100063,21,24,"(2, 2)","(2, 2)",average,8
0.8356,0.5887,0,1,True,False,159875,88,70,"(3, 3)","(5, 5)",max,49
0.955,0.2007,0,1,True,True,620852,56,65,"(4, 4)","(2, 2)",max,32
0.9165,0.3385,0,1,True,True,257995,43,35,"(4, 4)","(2, 2)",average,33
0.9665,0.1432,0,1,True,True,392339,113,53,"(5, 5)","(3, 3)",average,25
0.9404,0.2495,9,1,True,True,150567,26,70,"(3, 3)","(3, 3)",max,1
0.878,0.485,0,1,True,True,202607,111,70,"(4, 4)","(5, 5)",average,45
0.9714,0.1213,0,1,True,True,1129659,72,92,"(5, 5)","(2, 2)",max,16
0.8764,0.4627,0,1,True,True,88490,113,15,"(3, 3)","(4, 4)",average,38
0.5434,1.5991,0,1,True,False,83847,21,20,"(3, 3)","(2, 2)",max,53
0.9744,0.1076,0,1,True,True,1382791,117,60,"(3, 3)","(2, 2)",max,23
0.971,0.131,9,1,True,True,97643,52,28,"(5, 5)","(3, 3)",max,4
0.8955,0.3696,0,1,True,True,383931,52,90,"(3, 3)","(3, 3)",max,32
0.9596,0.1691,0,1,True,True,306743,121,68,"(5, 5)","(4, 4)",average,18
0.9666,0.1507,0,1,True,True,87381,123,26,"(5, 5)","(5, 5)",max,27
0.6686,1.161,0,1,True,False,2355,24,2,"(3, 3)","(5, 5)",max,22
0.885,0.5014,0,1,True,False,930906,57,83,"(2, 2)","(2, 2)",max,43
0.9743,0.1213,0,1,True,True,508865,110,27,"(5, 5)","(2, 2)",max,24
0.8935,0.4204,0,1,True,True,374043,100,75,"(3, 3)","(4, 4)",average,45
0.9713,0.1303,0,1,True,True,625332,78,47,"(4, 4)","(2, 2)",average,16
0.9705,0.1212,7,1,False,True,269811,102,32,"(3, 3)","(3, 3)",max,7
0.9069,0.3636,0,1,True,True,666830,106,77,"(2, 2)","(3, 3)",average,35
0.943,0.2525,0,1,True,True,170939,93,22,"(4, 4)","(3, 3)",average,49
0.8601,0.5807,0,1,True,False,2301191,117,100,"(3, 3)","(2, 2)",average,65
0.9457,0.2293,8,1,False,True,21917,83,6,"(4, 4)","(4, 4)",max,0
0.9551,0.1654,0,1,True,True,1093490,129,43,"(2, 2)","(2, 2)",average,23
0.9525,0.1951,0,1,True,True,215797,118,22,"(2, 2)","(3, 3)",max,28
0.9581,0.1996,0,1,True,True,62727,100,9,"(5, 5)","(3, 3)",average,48
0.9474,0.2119,0,1,True,True,164583,55,15,"(3, 3)","(2, 2)",max,23
0.6669,1.1019,0,1,True,False,144327,103,54,"(2, 2)","(5, 5)",average,55
0.9392,0.2898,0,1,True,False,715887,75,56,"(4, 4)","(2, 2)",max,63
0.8414,0.5928,0,1,True,False,88870,40,83,"(4, 4)","(5, 5)",average,14
0.9556,0.2125,0,1,True,True,222225,43,30,"(5, 5)","(2, 2)",average,46
0.9462,0.2097,0,1,True,True,1084801,102,54,"(2, 2)","(2, 2)",average,36
0.9629,0.1555,10,1,True,True,470821,87,66,"(3, 3)","(3, 3)",average,5
0.9741,0.1138,0,1,True,True,141707,76,28,"(5, 5)","(3, 3)",max,30
0.8958,0.3986,0,1,True,True,36039,106,6,"(3, 3)","(4, 4)",average,11
0.7875,0.7036,0,1,True,False,187055,73,100,"(2, 2)","(5, 5)",average,23
0.8923,0.4344,0,1,True,True,144815,95,58,"(4, 4)","(5, 5)",average,46
0.7185,0.9887,0,1,True,False,161051,32,100,"(3, 3)","(4, 4)",average,40
0.9036,0.3825,0,1,True,True,456029,101,91,"(2, 2)","(4, 4)",max,39
0.878,0.4737,0,1,True,True,357247,59,74,"(2, 2)","(3, 3)",max,31
0.7656,0.8883,0,1,True,False,75377,50,18,"(2, 2)","(3, 3)",average,44
0.9365,0.3364,0,1,True,False,553327,90,36,"(4, 4)","(2, 2)",average,62
0.957,0.1933,0,1,True,True,62683,80,20,"(5, 5)","(4, 4)",max,51
0.9198,0.311,0,1,True,True,336787,109,62,"(2, 2)","(4, 4)",max,36
0.9625,0.1593,0,1,True,True,136799,107,48,"(5, 5)","(5, 5)",max,27
0.9414,0.2366,0,1,True,True,69790,73,35,"(5, 5)","(5, 5)",max,32
0.1678,3.0595,0,1,True,False,172124,14,71,"(4, 4)","(2, 2)",max,60
0.9587,0.1802,0,1,True,True,199254,55,21,"(5, 5)","(2, 2)",max,7
0.9703,0.1277,0,1,True,True,542447,66,100,"(4, 4)","(3, 3)",max,5
0.7561,0.8302,0,1,True,False,16007,65,8,"(2, 2)","(5, 5)",max,53
0.9527,0.1821,0,1,True,True,308795,68,91,"(3, 3)","(4, 4)",max,24
0.7532,0.8626,0,1,True,False,142119,69,80,"(2, 2)","(5, 5)",average,38
0.8869,0.3983,0,1,True,True,113420,78,55,"(4, 4)","(5, 5)",average,9
0.958,0.1753,10,1,True,True,937856,116,41,"(2, 2)","(2, 2)",average,8
0.9726,0.1221,0,1,True,True,271287,121,60,"(5, 5)","(4, 4)",max,38
0.9421,0.2408,0,1,True,True,119823,40,15,"(3, 3)","(2, 2)",max,7
0.6898,1.076,0,1,True,False,97855,91,41,"(2, 2)","(5, 5)",average,63
0.945,0.2194,0,1,True,True,109895,83,50,"(4, 4)","(5, 5)",max,23
0.9581,0.209,0,1,True,True,1414855,126,57,"(3, 3)","(2, 2)",average,54
0.907,0.3696,0,1,True,True,109911,75,56,"(3, 3)","(5, 5)",max,43
0.9459,0.2337,0,1,True,True,852767,55,91,"(4, 4)","(2, 2)",average,27
0.9086,0.3513,0,1,True,True,324175,76,52,"(2, 2)","(3, 3)",max,37
0.977,0.0971,0,1,True,True,538119,119,55,"(4, 4)","(3, 3)",max,31
0.7597,0.7877,0,1,True,False,44405,85,19,"(2, 2)","(5, 5)",average,11
0.9104,0.392,0,1,True,False,53747,56,14,"(5, 5)","(3, 3)",average,51
0.868,0.5504,0,1,True,False,222427,36,75,"(3, 3)","(3, 3)",average,40
0.83,0.6573,0,1,True,False,517581,102,62,"(2, 2)","(3, 3)",average,68
0.9489,0.2331,0,1,True,True,49159,69,18,"(5, 5)","(4, 4)",average,20
0.8954,0.4485,0,1,True,False,316771,37,50,"(4, 4)","(2, 2)",max,30
0.7208,1.002,0,1,True,False,321672,84,77,"(2, 2)","(4, 4)",average,61
0.3907,1.999,0,1,True,False,2111,14,4,"(2, 2)","(5, 5)",max,39
0.9704,0.135,0,1,True,True,638131,124,26,"(3, 3)","(2, 2)",max,40
0.8903,0.4064,0,1,True,True,151013,71,82,"(3, 3)","(5, 5)",max,29
0.5206,1.5017,0,1,True,False,169226,42,49,"(2, 2)","(3, 3)",average,56
0.8851,0.4178,0,1,True,True,169487,79,82,"(4, 4)","(5, 5)",average,15
0.9322,0.2832,0,1,True,True,52069,85,7,"(2, 2)","(3, 3)",max,7
0.93,0.2597,0,1,True,True,290408,121,29,"(3, 3)","(3, 3)",average,47
0.7621,0.8717,0,1,True,False,7806,62,1,"(2, 2)","(3, 3)",max,4
0.7419,0.8849,0,1,True,False,6774,39,5,"(3, 3)","(5, 5)",max,38
0.7767,0.7679,0,1,True,False,18999,18,38,"(3, 3)","(5, 5)",max,21
0.6356,1.2387,0,1,True,False,4154,14,5,"(2, 2)","(4, 4)",average,8
0.9563,0.191,0,1,True,True,73223,89,12,"(5, 5)","(3, 3)",average,33
0.9551,0.1936,0,1,True,True,48467,77,9,"(5, 5)","(3, 3)",average,18
0.9319,0.2657,0,1,True,True,42263,59,26,"(4, 4)","(5, 5)",max,28
0.7495,0.8912,0,1,True,False,99851,29,68,"(3, 3)","(4, 4)",average,16
0.7611,0.8053,0,1,True,False,152591,107,55,"(2, 2)","(5, 5)",max,63
0.8705,0.5312,0,1,True,False,40787,44,33,"(5, 5)","(5, 5)",max,57
0.9261,0.2792,10,1,True,True,38446,61,23,"(3, 3)","(5, 5)",max,2
0.9086,0.3655,0,1,True,True,28417,108,6,"(4, 4)","(4, 4)",average,14
0.746,0.9021,0,1,True,False,157114,44,95,"(4, 4)","(4, 4)",average,47
0.97,0.1389,0,1,True,True,682073,93,43,"(4, 4)","(2, 2)",average,22
0.9463,0.2177,0,1,True,True,134411,110,6,"(3, 3)","(2, 2)",average,50
0.9393,0.2589,0,1,True,True,30495,55,3,"(4, 4)","(2, 2)",max,19
0.8653,0.5125,0,1,True,False,120500,53,45,"(3, 3)","(4, 4)",max,48
0.6269,1.4313,0,1,True,False,469391,27,88,"(3, 3)","(2, 2)",average,61
0.949,0.2391,0,1,True,True,259621,73,43,"(4, 4)","(3, 3)",max,45
0.9732,0.11,9,1,True,True,859619,128,34,"(3, 3)","(2, 2)",average,29
0.8593,0.5067,0,1,True,True,183215,83,44,"(2, 2)","(4, 4)",average,26
0.8436,0.5371,0,1,True,True,76484,112,13,"(2, 2)","(4, 4)",average,17
0.824,0.6338,0,1,True,False,21699,105,2,"(2, 2)","(3, 3)",max,54
0.947,0.2224,0,1,True,True,671923,114,72,"(3, 3)","(3, 3)",average,39
0.9233,0.3312,0,1,True,True,146393,61,29,"(2, 2)","(3, 3)",max,20
0.884,0.4623,0,1,True,False,699368,103,83,"(3, 3)","(3, 3)",average,67
0.7349,0.9342,0,1,True,False,301241,47,78,"(3, 3)","(3, 3)",max,51
0.8996,0.3937,0,1,True,True,12911,29,6,"(5, 5)","(3, 3)",average,7
0.8144,0.629,0,1,True,False,30411,61,18,"(2, 2)","(5, 5)",max,39
0.6343,1.1702,0,1,True,False,29170,21,51,"(3, 3)","(5, 5)",max,54
0.9694,0.1268,0,1,True,True,671375,103,100,"(5, 5)","(3, 3)",average,29
0.6286,1.161,0,1,True,False,162950,47,69,"(3, 3)","(4, 4)",max,49
0.408,2.0624,0,1,True,False,55186,25,11,"(2, 2)","(2, 2)",average,64
0.928,0.2852,0,1,True,True,173555,54,64,"(3, 3)","(4, 4)",max,22
0.9275,0.2585,0,1,True,True,67691,104,24,"(3, 3)","(5, 5)",max,19
0.9688,0.1256,0,1,True,True,442811,86,26,"(3, 3)","(2, 2)",max,23
0.9415,0.2589,0,1,True,True,560979,118,24,"(3, 3)","(2, 2)",average,59
0.974,0.1181,9,1,True,True,201351,85,63,"(5, 5)","(4, 4)",max,4
0.9654,0.1425,0,1,True,True,229870,117,39,"(3, 3)","(4, 4)",max,14
0.8346,0.647,0,1,True,False,338959,121,56,"(3, 3)","(4, 4)",max,67
0.9732,0.1228,7,1,False,True,1636631,107,90,"(4, 4)","(2, 2)",average,6
0.9305,0.3105,0,1,True,True,410289,63,38,"(5, 5)","(2, 2)",average,53
0.6756,1.1188,0,1,True,False,20547,15,44,"(5, 5)","(5, 5)",average,13
0.7556,0.8807,0,1,True,False,1074744,84,65,"(2, 2)","(2, 2)",average,68
0.9814,0.087,0,1,True,True,245319,117,56,"(5, 5)","(4, 4)",max,15
0.8294,0.5609,0,1,True,True,108895,87,48,"(2, 2)","(5, 5)",max,22
0.6207,1.3713,0,1,True,False,2519,30,1,"(5, 5)","(4, 4)",max,52
0.9439,0.2621,0,1,True,True,206852,92,13,"(4, 4)","(2, 2)",max,60
0.8896,0.4317,0,1,True,True,443907,124,72,"(2, 2)","(4, 4)",average,40
0.776,0.717,0,1,True,False,182780,90,79,"(2, 2)","(5, 5)",average,18
0.9615,0.1598,0,1,True,True,318845,123,70,"(4, 4)","(4, 4)",average,22
0.873,0.4314,0,1,True,True,244144,121,77,"(5, 5)","(5, 5)",average,52
0.7081,1.1467,0,1,True,False,400645,30,78,"(4, 4)","(2, 2)",max,57
0.9712,0.1367,0,1,True,True,205171,112,22,"(3, 3)","(3, 3)",max,38
0.9258,0.311,0,1,True,True,116064,83,37,"(4, 4)","(4, 4)",average,34
0.8508,0.5819,0,1,True,False,705948,89,97,"(3, 3)","(3, 3)",max,68
0.9376,0.2322,10,1,True,True,349766,37,55,"(5, 5)","(2, 2)",max,4
0.9196,0.3965,0,1,True,False,151217,46,19,"(5, 5)","(2, 2)",average,50
0.9582,0.1714,9,1,False,True,100451,117,10,"(4, 4)","(3, 3)",average,5
0.9533,0.1936,0,1,True,True,259287,96,41,"(5, 5)","(3, 3)",average,34
0.7789,0.8011,0,1,True,False,11781,22,6,"(2, 2)","(3, 3)",average,20
0.8557,0.5381,0,1,True,False,110941,58,71,"(5, 5)","(5, 5)",average,33
0.9675,0.1519,0,1,True,True,68839,109,16,"(5, 5)","(4, 4)",max,47
0.9719,0.1219,0,1,True,True,131675,95,52,"(5, 5)","(5, 5)",max,19
0.9247,0.3599,0,1,True,False,145329,60,14,"(4, 4)","(2, 2)",max,54
0.4405,1.8065,0,1,True,False,47827,15,63,"(2, 2)","(4, 4)",max,11
0.9488,0.2247,0,1,True,True,70231,59,14,"(4, 4)","(3, 3)",average,19
0.8212,0.601,0,1,True,True,153361,90,66,"(2, 2)","(5, 5)",average,8
0.9595,0.1708,0,1,True,True,160495,67,64,"(4, 4)","(4, 4)",max,33
0.9486,0.2089,0,1,True,True,369935,55,34,"(3, 3)","(2, 2)",average,14
0.8564,0.5311,0,1,True,True,22216,34,23,"(4, 4)","(5, 5)",average,1
0.9724,0.1339,0,1,True,True,180227,80,34,"(5, 5)","(3, 3)",max,45
0.9212,0.388,0,1,True,False,1658651,98,86,"(3, 3)","(2, 2)",max,68
0.9617,0.1607,0,1,True,True,832071,67,63,"(3, 3)","(2, 2)",max,18
0.932,0.2852,0,1,True,True,287691,18,92,"(5, 5)","(2, 2)",average,3
0.856,0.5812,0,1,True,False,273007,59,56,"(4, 4)","(3, 3)",max,62
0.6085,1.2411,0,1,True,False,60369,29,25,"(2, 2)","(3, 3)",max,57
0.9375,0.228,10,1,True,True,96557,110,33,"(3, 3)","(5, 5)",max,12
0.8823,0.4876,0,1,True,False,18019,24,18,"(5, 5)","(4, 4)",max,39
0.9337,0.2499,0,1,True,True,365165,93,79,"(2, 2)","(4, 4)",max,6
0.9545,0.1988,0,1,True,True,1277990,118,55,"(2, 2)","(2, 2)",average,53
0.9314,0.2691,0,1,True,True,150731,52,35,"(3, 3)","(3, 3)",average,13
0.8685,0.5058,0,1,True,False,120407,66,70,"(3, 3)","(5, 5)",max,47
0.9271,0.2851,0,1,True,True,109489,85,34,"(4, 4)","(4, 4)",average,27
0.7872,0.7608,0,1,True,False,72623,51,28,"(2, 2)","(4, 4)",max,44
0.8851,0.4522,0,1,True,True,132317,57,46,"(3, 3)","(4, 4)",average,25
0.9594,0.1776,0,1,True,True,306631,120,51,"(3, 3)","(4, 4)",max,36
0.9291,0.2952,0,1,True,True,25891,24,6,"(5, 5)","(2, 2)",average,11
0.9649,0.1471,0,1,True,True,1633331,122,68,"(3, 3)","(2, 2)",average,36
0.8498,0.5752,0,1,True,True,31609,109,5,"(2, 2)","(4, 4)",max,47
0.5253,1.5182,0,1,True,False,102135,44,28,"(2, 2)","(3, 3)",average,57
0.9766,0.1073,0,1,True,True,1335839,119,66,"(4, 4)","(2, 2)",average,34
0.9169,0.3219,8,1,False,True,136659,34,60,"(5, 5)","(3, 3)",average,0
0.944,0.2272,0,1,True,True,477630,97,99,"(3, 3)","(4, 4)",average,28
0.9504,0.1973,0,1,True,True,395751,67,72,"(3, 3)","(3, 3)",max,28
0.5503,1.6075,0,1,True,False,38483,18,52,"(5, 5)","(4, 4)",average,46
0.948,0.2317,0,1,True,True,114391,85,16,"(3, 3)","(3, 3)",max,57
0.9583,0.1724,0,1,True,True,1215239,94,76,"(4, 4)","(2, 2)",average,22
0.9651,0.1564,0,1,True,True,99681,84,14,"(4, 4)","(3, 3)",max,43
0.7012,1.0044,0,1,True,False,35111,23,22,"(5, 5)","(3, 3)",average,35
0.9427,0.2459,0,1,True,True,514679,33,79,"(3, 3)","(2, 2)",max,9
0.6497,1.1348,0,1,True,False,73751,36,76,"(4, 4)","(5, 5)",average,58
0.9535,0.1823,10,1,True,True,570665,85,34,"(2, 2)","(2, 2)",average,6
0.8368,0.5712,0,1,True,True,118676,32,45,"(2, 2)","(3, 3)",max,4
0.9661,0.1274,5,1,False,True,511360,99,63,"(3, 3)","(3, 3)",max,2
0.6911,1.1184,0,1,True,False,7772,96,1,"(4, 4)","(4, 4)",max,63
0.9748,0.1115,6,1,False,True,1337709,102,77,"(5, 5)","(2, 2)",max,5
0.8213,0.6064,0,1,True,False,111227,52,82,"(3, 3)","(5, 5)",average,29
0.6705,1.1329,0,1,True,False,188259,54,92,"(5, 5)","(4, 4)",average,53
0.9529,0.193,10,1,True,True,168501,112,18,"(2, 2)","(3, 3)",max,6
0.9275,0.264,0,1,True,True,83699,124,25,"(3, 3)","(5, 5)",max,33
0.6266,1.2053,0,1,True,False,137373,72,74,"(2, 2)","(5, 5)",average,50
0.9706,0.1209,0,1,True,True,99410,90,13,"(4, 4)","(3, 3)",max,14
0.936,0.2457,8,1,False,True,77351,35,82,"(4, 4)","(5, 5)",max,0
0.5632,1.3386,0,1,True,False,154597,33,57,"(2, 2)","(3, 3)",average,22
0.8769,0.4499,0,1,True,False,200457,58,42,"(2, 2)","(3, 3)",max,46
0.9522,0.2293,0,1,True,True,82439,101,21,"(5, 5)","(4, 4)",max,57
0.8337,0.587,0,1,True,False,412452,58,87,"(2, 2)","(3, 3)",average,36
0.9647,0.149,0,1,True,True,198031,99,24,"(4, 4)","(3, 3)",average,26
0.1418,3.1871,0,1,True,False,60074,14,85,"(2, 2)","(4, 4)",average,63
0.9746,0.1127,0,1,True,True,1653471,112,75,"(3, 3)","(2, 2)",average,25
0.9747,0.1101,8,1,True,True,1606123,105,90,"(4, 4)","(2, 2)",max,21
0.4564,1.9717,0,1,True,False,42591,15,68,"(5, 5)","(4, 4)",average,67
0.9581,0.1689,0,1,True,True,859185,121,87,"(2, 2)","(3, 3)",max,29
0.9285,0.2886,0,1,True,True,26434,88,7,"(4, 4)","(4, 4)",max,34
0.9533,0.2014,0,1,True,True,253015,106,92,"(4, 4)","(5, 5)",max,39
0.9664,0.1514,0,1,True,True,323291,50,98,"(5, 5)","(3, 3)",max,39
0.7208,0.9445,0,1,True,False,9583,67,2,"(2, 2)","(4, 4)",max,45
0.969,0.1242,0,1,True,True,964039,128,92,"(4, 4)","(3, 3)",average,23
0.9571,0.1823,10,1,True,True,108186,98,13,"(4, 4)","(3, 3)",average,4
0.5649,1.4142,0,1,True,False,68885,40,34,"(2, 2)","(4, 4)",max,44
0.8972,0.3877,0,1,True,True,377608,124,37,"(2, 2)","(3, 3)",max,62
0.9597,0.1775,0,1,True,True,397191,115,93,"(5, 5)","(4, 4)",max,61
0.8625,0.5059,0,1,True,True,126708,76,33,"(2, 2)","(4, 4)",max,29
0.9668,0.144,9,1,True,True,180227,80,34,"(5, 5)","(3, 3)",average,4
0.904,0.378,0,1,True,True,392975,75,64,"(2, 2)","(3, 3)",max,44
0.7385,0.9453,0,1,True,False,286820,50,29,"(2, 2)","(2, 2)",average,51
0.9619,0.1535,10,1,True,True,396491,105,46,"(2, 2)","(3, 3)",max,12
0.913,0.3228,0,1,True,True,100945,118,10,"(2, 2)","(3, 3)",average,20
0.8783,0.4664,0,1,True,True,193452,64,81,"(4, 4)","(4, 4)",average,21
0.9426,0.217,5,1,False,True,457213,81,69,"(2, 2)","(3, 3)",max,0
0.7243,0.9853,0,1,True,False,248963,56,54,"(3, 3)","(3, 3)",average,62
0.9292,0.3329,0,1,True,True,160577,65,66,"(4, 4)","(4, 4)",max,47
0.9553,0.1948,0,1,True,True,294847,76,59,"(5, 5)","(3, 3)",average,19
0.6474,1.1179,0,1,True,False,45903,31,54,"(4, 4)","(5, 5)",average,40
0.7666,0.8049,0,1,True,False,24907,52,17,"(3, 3)","(5, 5)",max,65
0.8376,0.5393,8,1,False,True,45811,34,16,"(2, 2)","(3, 3)",max,0
0.8882,0.3998,0,1,True,True,46532,125,13,"(3, 3)","(5, 5)",max,47
0.8728,0.463,10,1,True,True,83171,47,35,"(2, 2)","(4, 4)",average,1
0.9846,0.0805,0,1,True,True,830587,129,99,"(5, 5)","(3, 3)",max,32
0.9548,0.1995,9,1,False,True,29006,59,17,"(5, 5)","(5, 5)",max,0
0.9108,0.373,0,1,True,True,88187,44,24,"(3, 3)","(3, 3)",max,15
0.9597,0.1625,10,1,True,True,152587,51,45,"(5, 5)","(3, 3)",max,4
0.8815,0.4463,0,1,True,False,1090991,77,72,"(2, 2)","(2, 2)",max,39
0.8668,0.5125,0,1,True,True,42083,104,14,"(5, 5)","(5, 5)",average,56
0.9213,0.3102,0,1,True,True,541663,115,95,"(2, 2)","(4, 4)",average,4
0.9535,0.1969,0,1,True,True,917529,63,74,"(2, 2)","(2, 2)",average,26
0.9183,0.3388,0,1,True,True,639165,126,62,"(2, 2)","(3, 3)",max,58
0.9416,0.227,0,1,True,True,394026,57,35,"(2, 2)","(2, 2)",average,8
0.7027,0.9415,0,1,True,False,167373,82,78,"(4, 4)","(5, 5)",average,67
0.9785,0.0994,8,1,True,True,238457,125,11,"(4, 4)","(2, 2)",max,19
0.9621,0.1576,8,1,False,True,82808,121,13,"(3, 3)","(4, 4)",max,0
0.8077,0.7166,0,1,True,False,960827,119,99,"(2, 2)","(3, 3)",average,70
0.7155,0.9356,0,1,True,False,4703,31,4,"(4, 4)","(5, 5)",average,31
0.9457,0.2714,0,1,True,True,532767,127,51,"(4, 4)","(3, 3)",average,62
0.9577,0.1978,0,1,True,True,28847,41,10,"(5, 5)","(3, 3)",max,35
0.9512,0.2653,0,1,True,True,86775,43,30,"(5, 5)","(3, 3)",max,46
0.9738,0.1237,0,1,True,True,43299,100,6,"(5, 5)","(3, 3)",max,37
0.358,2.2047,0,1,True,False,27919,22,31,"(5, 5)","(4, 4)",average,63
0.9736,0.1056,0,1,True,True,278055,93,80,"(5, 5)","(4, 4)",max,16
0.913,0.34,0,1,True,True,145355,38,76,"(3, 3)","(4, 4)",max,10
0.9599,0.2003,0,1,True,True,1762054,109,95,"(5, 5)","(2, 2)",average,58
0.7995,0.7693,0,1,True,False,6578,53,3,"(5, 5)","(5, 5)",max,49
0.9561,0.166,9,1,True,True,84011,68,7,"(5, 5)","(2, 2)",max,21
0.8196,0.632,0,1,True,True,61091,81,28,"(3, 3)","(5, 5)",average,20
0.8354,0.6045,0,1,True,False,204866,61,67,"(3, 3)","(4, 4)",average,23
0.8115,0.7617,0,1,True,False,250447,84,36,"(4, 4)","(3, 3)",average,66
0.7499,0.8367,0,1,True,False,23833,30,15,"(3, 3)","(4, 4)",max,54
0.4483,1.7756,0,1,True,False,62183,26,92,"(2, 2)","(5, 5)",average,47
0.6667,1.0781,0,1,True,False,154248,126,47,"(2, 2)","(5, 5)",average,68
0.8712,0.4385,0,1,True,True,18854,85,7,"(3, 3)","(5, 5)",max,26
0.6729,1.0494,0,1,True,False,14063,17,28,"(4, 4)","(5, 5)",average,22
0.9307,0.2657,0,1,True,True,182929,100,22,"(2, 2)","(3, 3)",average,20
0.9022,0.3528,0,1,True,True,92159,111,16,"(2, 2)","(4, 4)",max,35
0.9123,0.3315,0,1,True,True,35784,32,13,"(4, 4)","(3, 3)",max,21
0.9455,0.2163,0,1,True,True,221705,98,45,"(3, 3)","(4, 4)",max,23
0.8788,0.4955,0,1,True,False,163445,95,34,"(3, 3)","(4, 4)",average,52
0.9302,0.3377,0,1,True,True,97053,64,18,"(4, 4)","(3, 3)",max,54
0.8381,0.5936,0,1,True,True,6175,31,4,"(5, 5)","(4, 4)",average,15
0.9666,0.1365,0,1,True,True,117698,83,53,"(5, 5)","(5, 5)",max,13
0.9707,0.1328,9,1,True,True,242370,67,21,"(5, 5)","(2, 2)",average,9
0.9764,0.1132,10,1,True,True,756344,103,43,"(5, 5)","(2, 2)",average,15
0.9623,0.1644,0,1,True,True,708907,61,68,"(5, 5)","(2, 2)",average,21
0.8319,0.6409,0,1,True,False,253301,38,81,"(3, 3)","(3, 3)",max,21
0.5918,1.2927,0,1,True,False,65678,32,79,"(2, 2)","(5, 5)",max,29
0.7696,0.8193,0,1,True,False,93707,44,42,"(3, 3)","(4, 4)",max,53
0.6893,1.0424,0,1,True,False,15710,42,13,"(2, 2)","(5, 5)",average,33
0.9789,0.0992,0,1,True,True,273199,115,64,"(4, 4)","(4, 4)",max,32
0.8843,0.4056,0,1,True,True,191663,91,82,"(2, 2)","(5, 5)",max,20
0.9074,0.361,0,1,True,True,491861,70,86,"(2, 2)","(3, 3)",max,42
0.8577,0.5537,0,1,True,False,81785,43,50,"(4, 4)","(4, 4)",average,33
0.8311,0.626,0,1,True,False,257234,101,99,"(3, 3)","(5, 5)",max,66
