accuracy,loss,acc_convergence,loss_convergence,acc_valid,loss_valid,parameters,hidden_nodes,filters,filter_size,pooling_size,pooling_type,dropout
0.4153,1.8767,0,1,True,False,78719,39,40,"(2, 2)","(4, 4)",max,70
0.7178,0.9511,0,1,True,False,39815,23,34,"(2, 2)","(4, 4)",max,4
0.7648,0.8436,0,1,True,False,110039,23,57,"(4, 4)","(3, 3)",average,17
0.4516,1.7531,0,1,True,False,10100,23,15,"(3, 3)","(5, 5)",average,57
0.9798,0.1049,0,1,True,True,205799,124,25,"(5, 5)","(3, 3)",max,51
0.7579,0.8514,0,1,True,False,22019,26,16,"(3, 3)","(4, 4)",average,13
0.9413,0.2362,0,1,True,True,300819,96,38,"(3, 3)","(3, 3)",average,45
0.8021,0.7022,0,1,True,False,7883,21,4,"(3, 3)","(3, 3)",max,10
0.508,1.7045,0,1,True,False,41407,16,95,"(3, 3)","(5, 5)",max,27
0.9596,0.1603,0,1,True,True,139127,79,67,"(4, 4)","(5, 5)",max,22
0.8768,0.4662,0,1,True,True,160251,108,56,"(5, 5)","(5, 5)",average,58
0.7661,0.8106,0,1,True,False,897887,68,67,"(3, 3)","(2, 2)",max,67
0.945,0.2117,7,1,False,True,561411,79,36,"(2, 2)","(2, 2)",average,1
0.7836,0.7303,0,1,True,False,148059,102,56,"(2, 2)","(5, 5)",max,57
0.9201,0.3233,0,1,True,True,27455,95,3,"(4, 4)","(3, 3)",average,54
0.9646,0.1443,10,1,True,True,126155,125,38,"(4, 4)","(5, 5)",max,12
0.9154,0.3188,0,1,True,True,72764,125,21,"(5, 5)","(5, 5)",average,30
0.9459,0.2162,0,1,True,True,156997,91,46,"(4, 4)","(4, 4)",average,33
0.7998,0.7196,0,1,True,False,22327,114,6,"(3, 3)","(5, 5)",max,70
0.7179,0.9981,0,1,True,False,61835,82,28,"(3, 3)","(5, 5)",average,69
0.6287,1.1888,0,1,True,False,133277,41,65,"(2, 2)","(4, 4)",average,28
0.9321,0.2867,0,1,True,True,343298,26,77,"(4, 4)","(2, 2)",max,6
0.4541,1.7867,0,1,True,False,48625,37,34,"(4, 4)","(4, 4)",max,61
